id,tipo,nombre,categoria,calle_y_numero,colonia,alcaldia,cp
20,Hotel,Sheraton María Isabel Hotel & Towers,5 Estrellas,Paseo de la Reforma 325,Cuauhtémoc,Cuauhtémoc,6500
21,Hotel,Hotel Roosevelt,3 Estrellas,Avenida Insurgentes Sur 287,Hipódromo,Cuauhtémoc,6100
22,Hotel,Hotel Camino Real Polanco México,5 Estrellas,Calzada General Mariano Escobedo 700,Anzures,Miguel Hidalgo,11590
23,Hotel,Hotel Jalisco,1 Estrella,Avenida Jalisco 150,Tacubaya,Miguel Hidalgo,11870
24,Hotel,Tacubaya Hotel y Auto Suites,4 Estrellas,Viaducto Miguel Alemán 29,Tacubaya,Miguel Hidalgo,11870
25,Hotel,Hotel El Greco,3 Estrellas,Avenida San Antonio 22,Nápoles,Benito Juárez,3810
26,Hotel,Hotel Castropol,3 Estrellas,Avenida Pino Suárez 58,Centro (Área 9),Cuauhtémoc,6090
27,Hotel,Hotel Del Prado,5 Estrellas,Avenida Marina Nacional 399,Verónica Anzures,Miguel Hidalgo,11300
28,Hotel,Hotel Brasilia,3 Estrellas,Avenida Cien Metros 4823,Panamericana,Gustavo A. Madero,7770
29,Hotel,Exe Suites Reforma,5 Estrellas,Río Amazonas 78,Cuauhtémoc,Cuauhtémoc,6500
30,Hotel,Hotel Gin,3 Estrellas,Río Éufrates 3,Cuauhtémoc,Cuauhtémoc,6500
31,Hotel,Krystal Urban Aeropuerto CDMX,5 Estrellas,Avenida Javier Rojo Gómez 630,Leyes de Reforma primera sección,Iztapalapa,9310
32,Hotel,Hotel Catedral,4 Estrellas,Donceles 95,Centro (Área 3),Cuauhtémoc,6020
33,Hotel,Hotel Selina México Downtown,3 Estrellas,Avenida José María Izazaga 8,Centro (Área 8),Cuauhtémoc,6080
34,Hotel,Hotel Roble,3 Estrellas,República de Uruguay 109,Centro (Área 6),Cuauhtémoc,6060
35,Hotel,Hotel Calvin,2 Estrellas,José Azueta 33,Centro (Área 5),Cuauhtémoc,6050
36,Hotel,Hotel El Diplomático,4 Estrellas,Avenida Insurgentes Sur 1105,Nochebuena,Benito Juárez,3720
37,Hotel,Hotel Edison,2 Estrellas,Edison 106,Tabacalera,Cuauhtémoc,6030
38,Hotel,Hotel Plaza Luar,4 Estrellas,Avenida Melchor Ocampo 336,Cuauhtémoc,Cuauhtémoc,6500
39,Hotel,Hotel Pedregal Palace,5 Estrellas,Anillo Periférico Sur 3487,San Jerónimo Lídice,La Magdalena Contreras,10200
40,Hotel,Hotel New York,3 Estrellas,Edison 45,Tabacalera,Cuauhtémoc,6030
41,Hotel,Hotel Montemar,2 Estrellas,Valentín Gómez Farías 53,San Rafael,Cuauhtémoc,6470
42,Hotel,Isaaya Hotel Boutique,5 Estrellas,Dakota 155,Nápoles,Benito Juárez,3810
43,Hotel,Hotel Polanco,3 Estrellas,Edgar Allan Poe 8,Polanco V sección,Miguel Hidalgo,11560
