id,wkt_geom,nombre,linea,lon,lat,geopoint
114,PointZ (-99.14838399999999297 19.43130499999999827 0),Juárez_Metrobús_Línea 4,Línea 4,-99.148384,19.431305,"19.431305,-99.148384"
115,PointZ (-99.1477429999999913 19.43125900000000073 0),Juárez_Metrobús_Línea 4,Línea 4,-99.147743,19.431259,"19.431259,-99.147743"
116,PointZ (-99.14465300000000525 19.43077299999999852 0),Plaza San Juan,Línea 4,-99.144653,19.430773,"19.430773,-99.144653"
117,PointZ (-99.13853500000001873 19.42987400000000164 0),El Salvador,Línea 4,-99.138535,19.429874,"19.429874,-99.138535"
118,PointZ (-99.12992099999999596 19.42615500000000139 0),Las Cruces Sur,Línea 4,-99.129921,19.426155,"19.426155,-99.129921"
119,PointZ (-99.12927200000000028 19.42869900000000172 0),Las Cruces Norte,Línea 4,-99.129272,19.428699,"19.428699,-99.129272"
120,PointZ (-99.12341299999999933 19.42324100000000087 0),Mercado de Sonora,Línea 4,-99.12341300000001,19.423241,"19.423241,-99.123413"
121,PointZ (-99.11987299999999834 19.42517499999999941 0),Cecilio Robelo,Línea 4,-99.119873,19.425175,"19.425175,-99.119873"
122,PointZ (-99.1162259999999975 19.42717700000000036 0),Eduardo Molina,Línea 4,-99.116226,19.427177,"19.427177,-99.116226"
123,PointZ (-99.11615000000000464 19.42509799999999842 0),Hospital Balbuena,Línea 4,-99.11615,19.425098,"19.425098,-99.11615"
124,PointZ (-99.11517300000001285 19.43091000000000079 0),Terminal San Lázaro,Línea 4,-99.115173,19.43091,"19.43091,-99.115173"
125,PointZ (-99.11517300000001285 19.43536399999999986 0),Archivo General de la Nación,Línea 4,-99.115173,19.435364,"19.435364,-99.115173"
126,PointZ (-99.11461599999999805 19.43496899999999883 0),Archivo General de la Nación,Línea 4,-99.114616,19.434969,"19.434969,-99.114616"
127,PointZ (-99.11824799999999414 19.43578700000000126 0),Morelos,Línea 4,-99.118248,19.435787,"19.435787,-99.118248"
128,PointZ (-99.12415300000000684 19.43632300000000157 0),Mixcalco,Línea 4,-99.124153,19.436323,"19.436323,-99.124153"
129,PointZ (-99.13119500000001949 19.43735699999999866 0),República de Argentina,Línea 4,-99.13119500000002,19.437357,"19.437357,-99.131195"
130,PointZ (-99.13908399999999688 19.43842899999999929 0),Teatro Blanquita,Línea 4,-99.139084,19.438429,"19.438429,-99.139084"
131,PointZ (-99.08869900000000541 19.50061600000000084 0),314. Memorial New's Divine,Línea 5,-99.088699,19.500616,"19.500616,-99.088699"
132,PointZ (-99.09224700000000041 19.49219300000000032 0),Vasco de Quiroga,Línea 5,-99.092247,19.492193,"19.492193,-99.092247"
133,PointZ (-99.09913600000000145 19.4760610000000014 0),Río Guadalupe,Línea 5,-99.099136,19.476061,"19.476061,-99.099136"
134,PointZ (-99.10508699999999749 19.46203999999999823 0),Oriente 101,Línea 5,-99.105087,19.46204,"19.46204,-99.105087"
135,PointZ (-99.11209900000000061 19.44486200000000053 0),Deportivo Eduardo Molina,Línea 5,-99.112099,19.444862,"19.444862,-99.112099"
136,PointZ (-99.11355600000000265 19.4410589999999992 0),Mercado Morelos,Línea 5,-99.113556,19.441059,"19.441059,-99.113556"
137,PointZ (-99.1143950000000018 19.43720799999999826 0),Archivo General,Línea 5,-99.114395,19.437208,"19.437208,-99.114395"
138,PointZ (-99.05929999999999325 19.46462999999999965 0),Villa de Aragón,Línea 6,-99.0593,19.46463,"19.46463,-99.0593"
139,PointZ (-99.06480500000000688 19.46928000000000125 0),Colegio de Bachilleres 9,Línea 6,-99.064805,19.46928,"19.46928,-99.064805"
140,PointZ (-99.06948699999998098 19.47378399999999843 0),La Pradera,Línea 6,-99.06948699999998,19.473784,"19.473784,-99.069487"
141,PointZ (-99.07224499999998102 19.47661099999999834 0),Volcán de Fuego,Línea 6,-99.07224499999998,19.476611,"19.476611,-99.072245"
142,PointZ (-99.07536199999999837 19.47983299999999929 0),Ampliación Providencia,Línea 6,-99.075362,19.479833,"19.479833,-99.075362"
143,PointZ (-99.07925600000000088 19.47288899999999856 0),416 Poniente,Línea 6,-99.079256,19.472889,"19.472889,-99.079256"
144,PointZ (-99.08085499999998547 19.46730499999999964 0),Loreto Fabela,Línea 6,-99.08085499999999,19.467305,"19.467305,-99.080855"
145,PointZ (-99.08624600000000271 19.47064400000000006 0),Pueblo San Juan de Aragón,Línea 6,-99.086246,19.470644,"19.470644,-99.086246"
146,PointZ (-99.11799800000000005 19.48714599999999919 0),De los Misterios,Línea 6,-99.117998,19.487146,"19.487146,-99.117998"
147,PointZ (-99.12893599999999594 19.48904699999999934 0),Riobamba,Línea 6,-99.128936,19.489047,"19.489047,-99.128936"
148,PointZ (-99.13311500000000365 19.49060000000000059 0),Instituto Politécnico Nacional,Línea 6,-99.133115,19.4906,"19.4906,-99.133115"
149,PointZ (-99.15859600000000285 19.49597999999999942 0),Norte 45,Línea 6,-99.158596,19.49598,"19.49598,-99.158596"
150,PointZ (-99.16514599999999291 19.49728500000000153 0),Norte 59,Línea 6,-99.165146,19.497285,"19.497285,-99.165146"
151,PointZ (-99.17683500000001118 19.50132500000000135 0),Tecnoparque,Línea 6,-99.176835,19.501325,"19.501325,-99.176835"
152,PointZ (-99.16917399999999816 19.27939200000000142 0),El Caminero,Línea 1,-99.169174,19.279392,"19.279392,-99.169174"
153,PointZ (-99.17446100000000797 19.28838000000000008 0),Fuentes Brotantes,Línea 1,-99.174461,19.28838,"19.28838,-99.174461"
154,PointZ (-99.18843099999999424 19.32279799999999881 0),Ciudad Universitaria,Línea 1,-99.188431,19.322798,"19.322798,-99.188431"
155,PointZ (-99.18997999999999138 19.34081799999999873 0),Dr. Gálvez,Línea 1,-99.18998,19.340818,"19.340818,-99.18998"
156,PointZ (-99.18791199999999719 19.34681099999999887 0),Bombilla,Línea 1,-99.187912,19.346811,"19.346811,-99.187912"
157,PointZ (-99.1840440000000001 19.35836000000000112 0),Francia,Línea 1,-99.184044,19.35836,"19.35836,-99.184044"
158,PointZ (-99.182715999999985 19.36198399999999964 0),José María Velasco,Línea 1,-99.18271599999999,19.361984,"19.361984,-99.182716"
159,PointZ (-99.1804429999999968 19.3690800000000003 0),Río Churubusco,Línea 1,-99.180443,19.36908,"19.36908,-99.180443"
160,PointZ (-99.17604099999999789 19.38260100000000108 0),Ciudad de los Deportes,Línea 1,-99.176041,19.382601,"19.382601,-99.176041"
161,PointZ (-99.16996000000000322 19.40187099999999987 0),Nuevo León,Línea 1,-99.16996,19.401871,"19.401871,-99.16996"
162,PointZ (-99.16850300000000118 19.40648499999999999 0),Chilpancingo,Línea 1,-99.168503,19.406485,"19.406485,-99.168503"
