id,elemento,fecha,anio,month,week,localizacion,medicion
253,Precipitación pluvial,2016-04-18,2016,4,16,5,-99.0
254,Precipitación pluvial,2016-04-18,2016,4,16,12,-99.0
255,Precipitación pluvial,2016-04-18,2016,4,16,3,-99.0
256,Precipitación pluvial,2016-04-25,2016,4,17,7,-99.0
257,Precipitación pluvial,2016-04-25,2016,4,17,4,-99.0
258,Precipitación pluvial,2016-04-25,2016,4,17,9,-99.0
259,Precipitación pluvial,2016-04-25,2016,4,17,2,-99.0
260,Precipitación pluvial,2016-04-25,2016,4,17,16,-99.0
261,Precipitación pluvial,2016-04-25,2016,4,17,13,-99.0
262,Precipitación pluvial,2016-04-25,2016,4,17,1,-99.0
263,Precipitación pluvial,2016-04-25,2016,4,17,6,-99.0
264,Precipitación pluvial,2016-04-25,2016,4,17,14,-99.0
265,Precipitación pluvial,2016-04-25,2016,4,17,15,-99.0
266,Precipitación pluvial,2016-04-25,2016,4,17,10,-99.0
267,Precipitación pluvial,2016-04-25,2016,4,17,11,-99.0
268,Precipitación pluvial,2016-04-25,2016,4,17,8,-99.0
269,Precipitación pluvial,2016-04-25,2016,4,17,5,-99.0
270,Precipitación pluvial,2016-04-25,2016,4,17,12,-99.0
271,Precipitación pluvial,2016-04-25,2016,4,17,3,-99.0
272,Precipitación pluvial,2016-05-02,2016,5,18,7,7.98
273,Precipitación pluvial,2016-05-02,2016,5,18,4,3.07
274,Precipitación pluvial,2016-05-02,2016,5,18,9,6.6
275,Precipitación pluvial,2016-05-02,2016,5,18,2,5.53
276,Precipitación pluvial,2016-05-02,2016,5,18,16,20.42
277,Precipitación pluvial,2016-05-02,2016,5,18,13,19.96
278,Precipitación pluvial,2016-05-02,2016,5,18,1,18.27
279,Precipitación pluvial,2016-05-02,2016,5,18,6,9.52
280,Precipitación pluvial,2016-05-02,2016,5,18,14,-99.0
281,Precipitación pluvial,2016-05-02,2016,5,18,15,-99.0
282,Precipitación pluvial,2016-05-02,2016,5,18,10,3.07
283,Precipitación pluvial,2016-05-02,2016,5,18,11,15.96
284,Precipitación pluvial,2016-05-02,2016,5,18,8,0.52
285,Precipitación pluvial,2016-05-02,2016,5,18,5,12.28
286,Precipitación pluvial,2016-05-02,2016,5,18,12,-99.0
287,Precipitación pluvial,2016-05-02,2016,5,18,3,1.07
288,Precipitación pluvial,2016-05-09,2016,5,19,7,41.45
289,Precipitación pluvial,2016-05-09,2016,5,19,4,18.27
290,Precipitación pluvial,2016-05-09,2016,5,19,9,-99.0
291,Precipitación pluvial,2016-05-09,2016,5,19,2,14.28
292,Precipitación pluvial,2016-05-09,2016,5,19,16,2.61
293,Precipitación pluvial,2016-05-09,2016,5,19,13,37.92
294,Precipitación pluvial,2016-05-09,2016,5,19,1,19.96
295,Precipitación pluvial,2016-05-09,2016,5,19,6,9.82
296,Precipitación pluvial,2016-05-09,2016,5,19,14,15.66
297,Precipitación pluvial,2016-05-09,2016,5,19,15,-99.0
298,Precipitación pluvial,2016-05-09,2016,5,19,10,8.75
299,Precipitación pluvial,2016-05-09,2016,5,19,11,39.91
300,Precipitación pluvial,2016-05-09,2016,5,19,8,6.45
301,Precipitación pluvial,2016-05-09,2016,5,19,5,14.89
302,Precipitación pluvial,2016-05-09,2016,5,19,12,3.07
303,Precipitación pluvial,2016-05-09,2016,5,19,3,25.33
304,Precipitación pluvial,2016-05-16,2016,5,20,7,5.07
305,Precipitación pluvial,2016-05-16,2016,5,20,4,3.38
306,Precipitación pluvial,2016-05-16,2016,5,20,9,-99.0
307,Precipitación pluvial,2016-05-16,2016,5,20,2,4.45
308,Precipitación pluvial,2016-05-16,2016,5,20,16,13.36
309,Precipitación pluvial,2016-05-16,2016,5,20,13,12.74
310,Precipitación pluvial,2016-05-16,2016,5,20,1,29.17
311,Precipitación pluvial,2016-05-16,2016,5,20,6,21.03
312,Precipitación pluvial,2016-05-16,2016,5,20,14,6.45
313,Precipitación pluvial,2016-05-16,2016,5,20,15,18.42
314,Precipitación pluvial,2016-05-16,2016,5,20,10,1.84
315,Precipitación pluvial,2016-05-16,2016,5,20,11,73.07
316,Precipitación pluvial,2016-05-16,2016,5,20,8,12.59
317,Precipitación pluvial,2016-05-16,2016,5,20,5,1.0
318,Precipitación pluvial,2016-05-16,2016,5,20,12,16.43
319,Precipitación pluvial,2016-05-16,2016,5,20,3,-99.0
320,Precipitación pluvial,2016-05-23,2016,5,21,7,15.04
321,Precipitación pluvial,2016-05-23,2016,5,21,4,43.75
322,Precipitación pluvial,2016-05-23,2016,5,21,9,25.17
323,Precipitación pluvial,2016-05-23,2016,5,21,2,36.38
324,Precipitación pluvial,2016-05-23,2016,5,21,16,31.62
325,Precipitación pluvial,2016-05-23,2016,5,21,13,63.24
326,Precipitación pluvial,2016-05-23,2016,5,21,1,7.21
327,Precipitación pluvial,2016-05-23,2016,5,21,6,26.1
328,Precipitación pluvial,2016-05-23,2016,5,21,14,33.16
329,Precipitación pluvial,2016-05-23,2016,5,21,15,29.47
330,Precipitación pluvial,2016-05-23,2016,5,21,10,25.48
331,Precipitación pluvial,2016-05-23,2016,5,21,11,11.51
332,Precipitación pluvial,2016-05-23,2016,5,21,8,7.98
333,Precipitación pluvial,2016-05-23,2016,5,21,5,38.38
334,Precipitación pluvial,2016-05-23,2016,5,21,12,24.87
335,Precipitación pluvial,2016-05-23,2016,5,21,3,67.08
336,Precipitación pluvial,2016-05-30,2016,5,22,7,20.57
337,Precipitación pluvial,2016-05-30,2016,5,22,4,57.72
338,Precipitación pluvial,2016-05-30,2016,5,22,9,33.31
339,Precipitación pluvial,2016-05-30,2016,5,22,2,33.0
340,Precipitación pluvial,2016-05-30,2016,5,22,16,10.75
341,Precipitación pluvial,2016-05-30,2016,5,22,13,38.38
342,Precipitación pluvial,2016-05-30,2016,5,22,1,37.92
343,Precipitación pluvial,2016-05-30,2016,5,22,6,27.02
344,Precipitación pluvial,2016-05-30,2016,5,22,14,114.52
345,Precipitación pluvial,2016-05-30,2016,5,22,15,57.56
346,Precipitación pluvial,2016-05-30,2016,5,22,10,35.31
347,Precipitación pluvial,2016-05-30,2016,5,22,11,17.81
348,Precipitación pluvial,2016-05-30,2016,5,22,8,27.94
349,Precipitación pluvial,2016-05-30,2016,5,22,5,27.63
350,Precipitación pluvial,2016-05-30,2016,5,22,12,57.1
351,Precipitación pluvial,2016-05-30,2016,5,22,3,53.11
352,Precipitación pluvial,2016-06-06,2016,6,23,7,-99.0
353,Precipitación pluvial,2016-06-06,2016,6,23,4,33.77
354,Precipitación pluvial,2016-06-06,2016,6,23,9,15.66
355,Precipitación pluvial,2016-06-06,2016,6,23,2,32.54
356,Precipitación pluvial,2016-06-06,2016,6,23,16,30.7
357,Precipitación pluvial,2016-06-06,2016,6,23,13,13.51
358,Precipitación pluvial,2016-06-06,2016,6,23,1,-99.0
359,Precipitación pluvial,2016-06-06,2016,6,23,6,23.33
360,Precipitación pluvial,2016-06-06,2016,6,23,14,16.89
361,Precipitación pluvial,2016-06-06,2016,6,23,15,29.78
362,Precipitación pluvial,2016-06-06,2016,6,23,10,31.62
363,Precipitación pluvial,2016-06-06,2016,6,23,11,81.67
364,Precipitación pluvial,2016-06-06,2016,6,23,8,31.01
365,Precipitación pluvial,2016-06-06,2016,6,23,5,71.53
366,Precipitación pluvial,2016-06-06,2016,6,23,12,27.94
367,Precipitación pluvial,2016-06-06,2016,6,23,3,11.97
368,Precipitación pluvial,2016-06-13,2016,6,24,7,-99.0
369,Precipitación pluvial,2016-06-13,2016,6,24,4,7.06
370,Precipitación pluvial,2016-06-13,2016,6,24,9,26.4
371,Precipitación pluvial,2016-06-13,2016,6,24,2,11.67
372,Precipitación pluvial,2016-06-13,2016,6,24,16,19.03
373,Precipitación pluvial,2016-06-13,2016,6,24,13,4.91
374,Precipitación pluvial,2016-06-13,2016,6,24,1,-99.0
375,Precipitación pluvial,2016-06-13,2016,6,24,6,16.27
376,Precipitación pluvial,2016-06-13,2016,6,24,14,-99.0
377,Precipitación pluvial,2016-06-13,2016,6,24,15,7.68
378,Precipitación pluvial,2016-06-13,2016,6,24,10,49.43
379,Precipitación pluvial,2016-06-13,2016,6,24,11,67.54
380,Precipitación pluvial,2016-06-13,2016,6,24,8,15.04
381,Precipitación pluvial,2016-06-13,2016,6,24,5,135.7
382,Precipitación pluvial,2016-06-13,2016,6,24,12,16.89
383,Precipitación pluvial,2016-06-13,2016,6,24,3,-99.0
384,Precipitación pluvial,2016-06-20,2016,6,25,7,46.36
385,Precipitación pluvial,2016-06-20,2016,6,25,4,46.67
386,Precipitación pluvial,2016-06-20,2016,6,25,9,43.29
387,Precipitación pluvial,2016-06-20,2016,6,25,2,52.81
388,Precipitación pluvial,2016-06-20,2016,6,25,16,43.6
389,Precipitación pluvial,2016-06-20,2016,6,25,13,24.87
390,Precipitación pluvial,2016-06-20,2016,6,25,1,132.63
391,Precipitación pluvial,2016-06-20,2016,6,25,6,58.03
392,Precipitación pluvial,2016-06-20,2016,6,25,14,20.26
393,Precipitación pluvial,2016-06-20,2016,6,25,15,35.31
394,Precipitación pluvial,2016-06-20,2016,6,25,10,80.44
395,Precipitación pluvial,2016-06-20,2016,6,25,11,62.02
396,Precipitación pluvial,2016-06-20,2016,6,25,8,37.46
397,Precipitación pluvial,2016-06-20,2016,6,25,5,70.92
398,Precipitación pluvial,2016-06-20,2016,6,25,12,35.61
399,Precipitación pluvial,2016-06-20,2016,6,25,3,45.13
400,Precipitación pluvial,2016-06-27,2016,6,26,7,123.11
401,Precipitación pluvial,2016-06-27,2016,6,26,4,40.53
402,Precipitación pluvial,2016-06-27,2016,6,26,9,81.36
403,Precipitación pluvial,2016-06-27,2016,6,26,2,58.03
404,Precipitación pluvial,2016-06-27,2016,6,26,16,45.74
405,Precipitación pluvial,2016-06-27,2016,6,26,13,134.78
406,Precipitación pluvial,2016-06-27,2016,6,26,1,-99.0
407,Precipitación pluvial,2016-06-27,2016,6,26,6,63.24
408,Precipitación pluvial,2016-06-27,2016,6,26,14,40.22
409,Precipitación pluvial,2016-06-27,2016,6,26,15,39.3
410,Precipitación pluvial,2016-06-27,2016,6,26,10,83.2
411,Precipitación pluvial,2016-06-27,2016,6,26,11,-99.0
412,Precipitación pluvial,2016-06-27,2016,6,26,8,-99.0
413,Precipitación pluvial,2016-06-27,2016,6,26,5,-99.0
414,Precipitación pluvial,2016-06-27,2016,6,26,12,31.62
415,Precipitación pluvial,2016-06-27,2016,6,26,3,36.84
416,Precipitación pluvial,2016-07-04,2016,7,27,7,42.37
417,Precipitación pluvial,2016-07-04,2016,7,27,4,29.78
418,Precipitación pluvial,2016-07-04,2016,7,27,9,2.76
419,Precipitación pluvial,2016-07-04,2016,7,27,2,37.76
420,Precipitación pluvial,2016-07-04,2016,7,27,16,50.96
421,Precipitación pluvial,2016-07-04,2016,7,27,13,12.59
422,Precipitación pluvial,2016-07-04,2016,7,27,1,-99.0
423,Precipitación pluvial,2016-07-04,2016,7,27,6,37.15
424,Precipitación pluvial,2016-07-04,2016,7,27,14,13.51
