id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21958811,"WALK TO CONDESA & WTC,  PICTURESQUE STUDIO!",87816792,Violeta,,Miguel Hidalgo,19.39866,-99.18047,Entire home/apt,476,1,123,2019-05-14,6.83,7,342
21960320,Recámara Individual cerca del Wtc,45325248,Dante,,Benito Juárez,19.39049,-99.18357,Private room,400,1,7,2018-11-16,0.49,4,300
21960864,Habitacion en departamento: Ciudad Universitaria,150635135,Eduardo,,Coyoacán,19.33972,-99.18131,Private room,247,1,18,2019-05-12,1.09,1,60
21962100,Sunny Penthouse Mexican Style.,12846088,Pablo,,Coyoacán,19.3491,-99.16488,Entire home/apt,2192,2,0,,,2,0
21962322,Super departamento de 130m2 2 recamaras 2 balcones,120232487,David,,Miguel Hidalgo,19.43297,-99.21234,Entire home/apt,3202,1,6,2019-04-21,0.35,9,361
21962884,excelente y ubicada habitacion,160337530,Ros,,Coyoacán,19.34612,-99.13692,Private room,229,7,0,,,1,180
21964624,★ Private Guesthouse in the Most Luxurious Area.,30723268,Gabriel,,Miguel Hidalgo,19.42003,-99.21115,Entire home/apt,1201,2,10,2019-01-09,0.62,1,325
21964942,Comodidad Absoluta en la Del Valle,124157564,Keybnb,,Benito Juárez,19.3802,-99.1705,Entire home/apt,591,2,21,2019-05-12,1.19,16,304
21965133,Stay Safe - Eartquake proof Tower - 90 suites,160111821,Elena,,Cuauhtémoc,19.42423,-99.17022,Entire home/apt,4097,2,0,,,6,365
21965733,Comfortable apartment Miyana Polanco,160362299,Liz,,Miguel Hidalgo,19.43901,-99.20048,Entire home/apt,2096,2,28,2019-05-06,1.59,2,62
21966044,"Room,Kitchen,Bathroom PRIVATES Airport 9 min",160365873,Ana,,Venustiano Carranza,19.41306,-99.08032,Private room,248,2,1,2018-11-19,0.16,3,0
21966045,Recámara baño y cocina PRIVADOS:  Aeropuerto 9 min,160365873,Ana,,Venustiano Carranza,19.41316,-99.07937,Private room,476,2,15,2018-04-08,0.85,3,0
21966895,Mixcoac ciudad de mexico,103267733,Daniel,,Benito Juárez,19.37601,-99.18993,Private room,248,4,0,,,1,364
21967360,Iluminada habitación con terraza,109059481,Maricela,,Cuauhtémoc,19.40791,-99.16322,Private room,457,1,2,2019-03-27,0.16,13,365
21967642,"Habitación confortable, céntrico, limpio",160381007,Joaquin,,Benito Juárez,19.40316,-99.13949,Private room,191,4,16,2018-06-07,0.90,1,3
21967830,Depa compartido - Coyoacan/shared flat - Coyoacan,160380888,Adriana,,Benito Juárez,19.36495,-99.17664,Private room,286,2,0,,,1,295
