id,tipo,nombre,categoria,alcaldia
393,Hotel,Motel Central Inn S.A. de C.V.,2,9
394,Hotel,City Express Aeropuerto Ciudad de México,4,15
395,Hotel,Holiday Inn Express Aeropuerto CDMX,4,8
396,Hotel,AC Hotel Santa Fe,5,5
397,Hotel,Marriott Reforma,5,6
398,Hotel,JW Marriott México City Santa Fe,5,1
399,Hotel,Hotel Coral,4,6
400,Hotel,Suites Capri Reforma,4,6
401,Hotel,Suites Capri Colonia Roma,4,6
402,Hotel,Hotel Plaza Revolución,4,6
403,Hotel,City Express Central de Abasto,4,9
404,Hotel,Holiday Inn Express Santa Fe,4,1
405,Hotel,Hotel Aspen,4,1
406,Hotel,Hotel Alpes,3,3
407,Hotel,Suites Newton,3,11
408,Hotel,Casa de Huéspedes Amueblados Frontera,0,6
409,Hotel,Hotel Hispano,0,2
410,Hotel,The Red Tree House,0,6
411,Hotel,Hotel Geneve Ciudad de México,5,6
412,Hotel,Hyatt Regency México City,5,11
413,Hotel,JW Marriott Hotel México City,5,11
414,Hotel,Hotel Royal Reforma,5,6
415,Hotel,Holiday Inn Ciudad de México Trade Center,5,3
416,Hotel,Hotel Real del Sur,5,4
417,Hotel,Hotel W México City,5,11
418,Hotel,The Westin Santa Fe,5,1
419,Hotel,The Host Business Suites,0,3
420,Hotel,Hotel Boutique Jtower,4,3
421,Hotel,Living Céfiro by Stara,5,4
425,Hotel,Hotel Del Ángel,4,6
426,Hotel,Hotel Bristol,4,6
427,Hotel,Exe Suites San Marino,5,6
428,Hotel,Suites Amberes,5,6
429,Hotel,Hotel Premier,3,6
430,Hotel,Hotel Reforma Avenue,4,6
431,Hotel,Suites Nápoles,3,6
432,Hotel,Hotel Fiesta Americana Reforma,5,6
433,Hotel,Hotel Emporio,5,6
434,Hotel,Hotel Astor,4,6
435,Hotel,Hotel Manalba,3,6
436,Hotel,Hotel Regente City,4,6
437,Hotel,Hotel Zamora,0,6
438,Hotel,Hotel Gillow,4,6
439,Hotel,Hotel Princess,2,6
440,Hotel,Stanza Hotel,4,6
441,Hotel,Hotel Sevilla Palace,5,6
442,Hotel,Hotel El Castro,3,6
443,Hotel,Hotel Paraíso,1,6
444,Hotel,Hotel Benidorm,5,6
445,Hotel,Hotel Del Rey,3,3
446,Hotel,Porto Novo Hotel & Suites,4,3
447,Hotel,Hotel Esperanza,2,3
448,Hotel,Laila Hotel CDMX,4,6
449,Hotel,Hotel Bonn,4,11
450,Hotel,Hotel Ambos Mundos,4,11
451,Hotel,Hotel Atlante,3,11
452,Hotel,Hotel Grand Prix,4,8
453,Hotel,Hotel Stella Maris,4,6
454,Hotel,Hotel Finisterre,5,4
455,Hotel,Hotel Bárcelo México Reforma,5,6
456,Hotel,Sheraton Suites Santa Fe,5,1
457,Hotel,Hotel Galería Plaza Reforma,5,6
458,Hotel,Hotel Estoril,4,6
459,Hotel,Hotel Cozumel,3,6
460,Hotel,Hotel Oslo,4,6
461,Hotel,Hotel Del Bosque,4,11
462,Hotel,Hotel Hidalgo,3,6
463,Hotel,Hotel El Ejecutivo by Reforma Avenue,4,6
464,Hotel,Hotel Marbella,4,6
465,Hotel,Hotel Lord,4,6
466,Hotel,Ramada Reforma,4,6
467,Hotel,Hotel Fontán Reforma,4,6
468,Hotel,Hotel Riazor,4,8
469,Hotel,Hotel MX Garibaldi,4,6
470,Hotel,Holiday Inn Plaza Universidad,5,3
471,Hotel,Hotel Antillas,3,6
