id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19274828,3 Bedrooms Luxury Apt. Polanco Moliere Best Area,5755202,Andres,,Miguel Hidalgo,19.43678,-99.20063,Entire home/apt,2266,3,48,2019-11-11,1.63,38,55
19277508,Cozy room in Colonia Roma,68398666,Ana,,Cuauhtémoc,19.41194,-99.16011,Private room,678,2,0,,,1,0
19283350,Silvia  Recamara / baño integrado. Col. Roma Sur.,39018009,Silvia,,Cuauhtémoc,19.40184,-99.1694,Private room,426,3,0,,,5,364
19290021,Habitación particular para hombres y mujeres,135077692,Martha,,Coyoacán,19.34984,-99.13585,Private room,252,1,10,2019-07-18,0.36,1,357
19291092,Mi casa... Tú casa 1,134919235,Aida,,Benito Juárez,19.38306,-99.15816,Private room,504,1,9,2019-02-23,0.33,2,326
19293613,Pretty COZY super LOCATED mex style n,48747453,Apartments & Rooms,,Miguel Hidalgo,19.40133,-99.17838,Entire home/apt,813,1,52,2019-10-06,1.87,2,75
19293764,BEAUTIFUL MIDTOWN VCTORIAN LOFT SAFE QUIET CENTRAL,135106211,Jorge Y Maimmara,,Cuauhtémoc,19.43277,-99.15879,Entire home/apt,736,90,0,,,1,90
19295614,Enjoy Modern Experience near Roma Norte.,135122543,Guadalupe,,Cuauhtémoc,19.42658,-99.15838,Entire home/apt,930,1,185,2019-11-18,6.34,5,359
19295864,Polanco Luxurious Green Oasis. Unique location.,10358425,Penelope,,Miguel Hidalgo,19.42888,-99.19855,Entire home/apt,4261,4,14,2019-10-30,0.54,1,192
19301189,Department Narvarte,134275953,Alejandro,,Benito Juárez,19.39819,-99.15788,Entire home/apt,2808,1,0,,,3,179
19302483,"Chalet ""The dreamer""",121085441,Alejandra,,Tlalpan,19.28033,-99.18476,Entire home/apt,1201,1,130,2019-10-27,4.48,1,333
